repository_name,date,clones,unique_cloners
digital-signature,2024-01-31,1,1
digital-signature,2024-02-01,2,2
digital-signature,2024-02-02,2,2
digital-signature,2024-02-03,2,2
digital-signature,2024-02-04,4,4
digital-signature,2024-02-05,62,12
digital-signature,2024-02-06,1,1
digital-signature,2024-02-07,41,5
digital-signature,2024-02-08,2,2
digital-signature,2024-02-09,55,12
digital-signature,2024-02-10,2,2
digital-signature,2024-02-11,1,1
digital-signature,2024-02-12,1,1
digital-signature,2024-02-13,2,2
digital-signature,2024-02-14,1,1
digital-signature,2024-02-15,1,1
digital-signature,2024-02-16,1,1
digital-signature,2024-02-17,1,1
digital-signature,2024-02-18,1,1
digital-signature,2024-02-19,3,1
digital-signature,2024-02-20,5,3
digital-signature,2024-02-21,4,2
digital-signature,2024-02-22,8,3
digital-signature,2024-02-23,4,2
digital-signature,2024-02-24,1,1
digital-signature,2024-02-25,1,1
digital-signature,2024-02-26,1,1
digital-signature,2024-02-27,1,1
digital-signature,2024-02-28,2,2
digital-signature,2024-02-29,10,2
digital-signature,2024-03-01,2,2
digital-signature,2024-03-02,1,1
digital-signature,2024-03-03,1,1
digital-signature,2024-03-04,4,4
digital-signature,2024-03-05,4,2
digital-signature,2024-03-06,6,3
digital-signature,2024-03-07,1,1
digital-signature,2024-03-08,1,1
digital-signature,2024-03-09,2,2
digital-signature,2024-03-10,2,2
digital-signature,2024-03-11,3,3
digital-signature,2024-03-12,8,2
digital-signature,2024-03-13,2,2
digital-signature,2024-03-14,3,3
digital-signature,2024-03-15,5,2
digital-signature,2024-03-16,9,2
digital-signature,2024-03-17,6,3
digital-signature,2024-03-18,6,3
digital-signature,2024-03-19,2,2
digital-signature,2024-03-20,1,1
