repository_name,date,views,unique_visitors/cloners
authentication,2024-04-01,40,7
authentication,2024-04-02,3,2
authentication,2024-04-03,59,10
authentication,2024-04-04,52,8
authentication,2024-04-05,127,10
authentication,2024-04-06,2,1
authentication,2024-04-07,1,1
authentication,2024-04-08,172,7
authentication,2024-04-09,37,5
authentication,2024-03-01,4,2
authentication,2024-03-03,12,1
authentication,2024-03-04,43,2
authentication,2024-03-05,198,8
authentication,2024-03-06,38,4
authentication,2024-03-20,50,3
authentication,2024-03-07,23,5
authentication,2024-03-21,46,3
authentication,2024-03-08,27,2
authentication,2024-03-22,1,1
authentication,2024-03-09,55,2
authentication,2024-03-24,19,2
authentication,2024-03-25,37,3
authentication,2024-03-26,177,11
authentication,2024-02-01,7,1
authentication,2024-03-27,2,2
authentication,2024-02-02,13,1
authentication,2024-03-28,138,8
authentication,2024-03-29,2,1
authentication,2024-02-05,104,4
authentication,2024-02-06,84,17
authentication,2024-02-07,183,11
authentication,2024-02-20,79,11
authentication,2024-02-21,141,11
authentication,2024-02-08,103,7
authentication,2024-02-22,108,16
authentication,2024-02-09,71,6
authentication,2024-02-23,179,26
authentication,2024-02-25,25,1
authentication,2024-02-26,230,12
authentication,2024-02-27,96,12
authentication,2024-02-28,110,10
authentication,2024-02-29,82,9
authentication,2024-01-20,4,1
authentication,2024-01-21,4,2
authentication,2024-01-22,1,1
authentication,2024-01-29,1,1
authentication,2024-04-10,110,13
authentication,2024-04-11,133,5
authentication,2024-04-12,5,2
authentication,2024-03-11,41,2
authentication,2024-03-12,35,7
authentication,2024-03-13,30,5
authentication,2024-03-14,190,6
authentication,2024-03-15,14,3
authentication,2024-03-16,38,1
authentication,2024-03-30,2,1
authentication,2024-03-17,71,1
authentication,2024-03-18,129,8
authentication,2024-03-19,79,7
authentication,2024-02-12,71,5
authentication,2024-02-13,137,12
authentication,2024-02-14,243,16
authentication,2024-02-15,94,11
authentication,2024-02-16,42,5
authentication,2024-02-17,23,1
authentication,2024-02-18,2,1
authentication,2024-02-19,153,14
authentication,2024-01-31,12,1
